City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Butaritari,KI,81.77,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
5,Alassio,IT,78.06,clear sky,44.0039,8.1671,Hotel Toscana
7,Houma,US,77.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
11,Puerto Ayora,EC,80.56,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
14,Humaita,BR,87.22,broken clouds,-7.5061,-63.0208,Corrêa Hotel
16,Gerash,IR,87.94,overcast clouds,27.6652,54.1371,Sa'adat House Gerash
17,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
19,Nagato,JP,73.85,overcast clouds,34.3833,131.2,いそう庵
24,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
25,Arraial Do Cabo,BR,73.36,few clouds,-22.9661,-42.0278,Pousada Porto Praia
27,Goderich,CA,70.12,scattered clouds,43.7501,-81.7165,Harmony Inn
29,Kapaa,US,81.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
32,Puerto Escondido,MX,88.63,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
33,Rach Gia,VN,77.56,moderate rain,10.0167,105.0833,Nhà Hàng Hòa Giang
35,Ribeira Grande,PT,71.01,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
37,Aksu,CN,73.04,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
40,Margate,GB,74.7,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
45,Kirakira,SB,80.89,broken clouds,-10.4544,161.9205,SanBiz Lodge
46,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
47,Hithadhoo,MV,82.63,overcast clouds,-0.6,73.0833,Scoop Guest House
48,Sibolga,ID,75.88,heavy intensity rain,1.7427,98.7792,Hotel Syariah CN Darussalam
49,Rikitea,PF,75.0,few clouds,-23.1203,-134.9692,People ThankYou
50,Cayenne,GF,84.24,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
51,Vila,PT,77.88,broken clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
53,Thompson,CA,73.56,few clouds,55.7435,-97.8558,Burntwood Hotel
54,Ponta Do Sol,PT,72.01,scattered clouds,32.6667,-17.1,Hotel do Campo
56,Esna,EG,88.63,scattered clouds,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
62,Bonthe,SL,75.85,light rain,7.5264,-12.505,Bonthe Holiday Village
66,Bambous Virieux,MU,71.22,light rain,-20.3428,57.7575,Casa Tia Villa
68,Benton Harbor,US,83.05,clear sky,42.1167,-86.4542,The Boulevard Inn & Bistro
72,Hilo,US,85.28,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
74,Faanui,PF,77.97,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
75,Katobu,ID,73.45,scattered clouds,-4.9408,122.5276,La Ode Husein
76,Mahebourg,MU,71.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
77,Guerrero Negro,MX,71.35,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
81,Sal Rei,CV,74.79,few clouds,16.1833,-22.9167,Marine Club Beach Resort
95,Matay,EG,82.98,clear sky,28.419,30.7792,Nag Aespen
97,Muroto,JP,78.49,overcast clouds,33.2833,134.15,Oota Ryokan
98,Jiwani,PK,83.32,scattered clouds,25.05,61.7417,Hamza hotel jiwani
99,Tautira,PF,75.56,moderate rain,-17.7333,-149.15,Pension Oaoa
101,San Marcos,US,89.98,clear sky,33.1434,-117.1661,Hampton Inn San Marcos
102,Ahuimanu,US,83.34,clear sky,21.4447,-157.8378,Paradise Bay Resort
108,Alta Floresta,BR,89.33,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
109,Point Fortin,TT,82.89,overcast clouds,10.1833,-61.6833,Jus Les' Suites
110,Sola,VU,81.27,broken clouds,-13.8833,167.55,Leumerus Bungalows
111,Sinnamary,GF,80.83,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
112,Georgetown,MY,76.95,scattered clouds,5.4112,100.3354,Cititel Penang
113,Kamaishi,JP,71.22,light rain,39.2667,141.8833,Hotel Route Inn Kamaishi
114,Zadar,HR,72.21,clear sky,44.1197,15.2422,Hotel Kolovare
116,Sao Joao Da Barra,BR,75.29,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
118,Glens Falls,US,85.28,clear sky,43.3095,-73.644,Super 8 by Wyndham Queensbury Glens Falls/Lake George Area
121,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Paradise Inn
126,Victoria,HK,85.32,clear sky,22.2855,114.1577,Mini Central
131,Trairi,BR,78.66,broken clouds,-3.2778,-39.2689,janelas do mar
138,Kulhudhuffushi,MV,81.95,overcast clouds,6.6221,73.07,Haajy Guest House 1
139,Biltine,TD,86.05,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
140,Kavieng,PG,81.84,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
146,Zhezkazgan,KZ,75.24,clear sky,47.8043,67.7144,Hotel Zumrat
156,Rio Verde De Mato Grosso,BR,76.55,overcast clouds,-18.9181,-54.8442,Quedas Palace Hotel
157,Zhanaozen,KZ,87.39,few clouds,43.3,52.8,K.korabay 28A
160,Hamada,JP,71.46,overcast clouds,34.8833,132.0833,Shimane Hamada Washington Hotel Plaza
162,Tabou,CI,76.44,overcast clouds,4.423,-7.3528,hotêl doufoulougou
163,Rodrigues Alves,BR,82.6,broken clouds,-7.738,-72.6509,Pousada Aconchego
166,Omboue,GA,70.83,scattered clouds,-1.5746,9.2618,Hotel Olako
171,Cardonal,MX,80.42,overcast clouds,20.6,-99.1333,Hospedaje Tolantongo
172,Atuona,PF,77.81,scattered clouds,-9.8,-139.0333,Villa Enata
173,Katsuura,JP,73.42,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
174,Port-Gentil,GA,73.36,broken clouds,-0.7193,8.7815,Fengshui Residence
176,Jamestown,US,80.53,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
179,Shimoda,JP,73.11,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
180,Tortoli,IT,75.02,clear sky,39.9256,9.6572,Hotel La Bitta
182,Naze,JP,74.32,overcast clouds,28.3667,129.4833,Shishime Hotel
183,Pinega,RU,71.17,few clouds,64.7001,43.3936,"Gostevoy Dom Ooo ""Pinezh'yeles"""
186,Souillac,MU,70.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
187,Hay River,CA,78.78,broken clouds,60.8156,-115.7999,Ptarmigan Inn
189,Lorengau,PG,81.5,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
193,Jiayuguan,CN,73.27,overcast clouds,39.8167,98.3,Jiugang Hotel - Jiayuguan
