City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Butaritari,KI,3.0707,172.7902,81.77,78,92,18.81,overcast clouds
1,Kiomboi,TZ,-4.2667,34.3667,60.8,59,26,15.17,scattered clouds
2,Prince Rupert,CA,54.3161,-130.3201,55.09,88,100,12.66,light rain
3,Punta Arenas,CL,-53.15,-70.9167,33.91,93,100,8.05,snow
4,Ushuaia,AR,-54.8,-68.3,38.86,81,75,16.11,light rain
5,Alassio,IT,44.0039,8.1671,78.06,75,2,1.99,clear sky
6,Albany,US,42.6001,-73.9662,86.58,48,19,12.95,few clouds
7,Houma,US,29.5958,-90.7195,77.0,88,0,3.44,clear sky
8,Kruisfontein,ZA,-34.0033,24.7314,51.26,75,0,5.93,clear sky
9,Barrow,US,71.2906,-156.7887,39.22,87,100,10.36,light rain
10,Busselton,AU,-33.65,115.3333,55.15,86,18,7.43,few clouds
11,Puerto Ayora,EC,-0.7393,-90.3518,80.56,86,24,8.01,few clouds
12,Nikolskoye,RU,59.7035,30.7861,66.79,98,78,5.12,broken clouds
13,Praxedis Guerrero,MX,31.3667,-106.0167,96.26,18,17,17.63,few clouds
14,Humaita,BR,-7.5061,-63.0208,87.22,55,54,2.73,broken clouds
15,Nanortalik,GL,60.1432,-45.2371,42.96,85,34,9.15,scattered clouds
16,Gerash,IR,27.6652,54.1371,87.94,53,100,9.17,overcast clouds
17,Alofi,NU,-19.0595,-169.9187,78.69,73,75,16.11,broken clouds
18,Campos Do Jordao,BR,-22.7394,-45.5914,65.03,62,100,3.83,overcast clouds
19,Nagato,JP,34.3833,131.2,73.85,89,97,7.25,overcast clouds
20,Leningradskiy,RU,69.3833,178.4167,41.72,95,100,4.38,light rain
21,Lagoa,PT,39.05,-27.9833,69.85,92,10,11.52,clear sky
22,Urusha,RU,54.05,122.9,59.29,99,100,3.33,overcast clouds
23,Saint-Philippe,RE,-21.3585,55.7679,67.59,74,30,11.05,light rain
24,Vaini,TO,-21.2,-175.2,77.16,83,75,5.75,broken clouds
25,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,83,20,6.91,few clouds
26,Ancud,CL,-41.8697,-73.8203,41.23,70,93,12.84,light rain
27,Goderich,CA,43.7501,-81.7165,70.12,68,30,9.22,scattered clouds
